elementat ElementAt
elementatordefault ElementAtOrDefault
first First
firstordefault FirstOrDefault
last Last
lastordefault LastOrDefault
single Single
singleordefault SingleOrDefault
where Where
distinct Distinct
skip Skip
skipwhile SkipWhile
take Take
takewhile TakeWhile
max Max
min Min
average Average
sum Sum
count Count
aggregate Aggregate
all All
any Any
contains Contains
sequenceequal SequenceEqual
union Union
except Except
intersect Intersect
orderby OrderBy
orderbydescending OrderByDescending
thenby ThenBy
thenbydescending ThenByDescending
reverse Reverse
select Select
selectmany SelectMany
groupby GroupBy
join Join
groupjoin GroupJoin
concat Concat
defaultempty DefaultEmpty
zip Zip
oftype OfType
cast Cast
toarray ToArray
todictionary ToDictionary
tolist ToList
tolookup ToLookup
asenumerable AsEnumerable
 
